Date,Open,High,Low,Close,Adj Close,Volume
2020-04-17,119.300003,120.389999,117.919998,120.120003,113.805405,4966000
2020-04-20,119.150002,122.860001,118.139999,120.410004,114.080162,8181700
2020-04-21,114.000000,117.150002,112.059998,116.760002,110.622040,14349000
2020-04-22,119.870003,120.330002,117.550003,119.309998,113.037979,7087900
2020-04-23,119.570000,123.029999,119.120003,121.349998,114.970741,6881600
2020-04-24,122.410004,125.000000,120.760002,124.720001,118.163582,4987300
2020-04-27,125.559998,126.989998,125.470001,125.919998,119.300507,4923800
2020-04-28,128.029999,128.199997,125.379997,126.269997,119.632103,4778100
2020-04-29,128.880005,129.309998,127.529999,128.690002,121.924889,5257600
2020-04-30,126.519997,127.269997,125.220001,125.559998,118.959419,6635800
2020-05-01,123.190002,123.470001,121.389999,121.870003,115.463409,4925500
2020-05-04,120.820000,121.970001,119.389999,121.680000,115.283394,4017900
2020-05-05,123.389999,124.320000,122.470001,122.580002,116.136078,3899400
2020-05-06,123.239998,124.050003,122.410004,123.169998,116.695061,3864600
2020-05-07,122.980003,123.260002,120.849998,121.230003,116.397430,4412600
2020-05-08,122.669998,123.230003,121.059998,122.989998,118.087265,5003900
2020-05-11,121.809998,123.449997,120.669998,122.589996,117.703201,3535300
2020-05-12,123.010002,124.320000,120.260002,120.260002,115.466087,4784500
2020-05-13,119.949997,119.989998,114.849998,115.730003,111.116676,5882800
2020-05-14,114.570000,117.089996,111.809998,116.949997,112.288033,5259400
2020-05-15,115.930000,117.389999,115.250000,116.980003,112.316841,4786300
2020-05-18,119.879997,122.360001,119.750000,121.559998,116.714272,4207600
2020-05-19,121.190002,122.169998,120.139999,120.290001,115.494888,3241100
2020-05-20,120.930000,122.470001,120.599998,121.379997,116.541435,3840700
2020-05-21,120.989998,121.720001,118.970001,119.120003,114.371536,4000900
2020-05-22,119.370003,119.470001,117.589996,118.389999,113.670631,4180800
2020-05-26,121.300003,122.620003,121.010002,121.760002,116.906296,5469300
2020-05-27,123.940002,125.830002,123.470001,125.540001,120.535614,5727500
2020-05-28,126.870003,126.970001,124.220001,124.529999,119.565872,3915300
2020-05-29,123.669998,125.129997,122.239998,124.900002,119.921135,7930500
2020-06-01,124.639999,125.750000,124.029999,124.889999,119.911522,2871700
2020-06-02,125.669998,126.000000,124.660004,126.000000,120.977280,2978100
2020-06-03,127.150002,129.600006,127.000000,129.050003,123.905701,3917700
2020-06-04,127.779999,128.949997,127.019997,128.889999,123.752075,3864800
2020-06-05,133.889999,134.229996,131.750000,132.059998,126.795700,5892700
2020-06-08,132.270004,135.880005,132.270004,135.750000,130.338608,5370500
2020-06-09,133.520004,133.600006,131.020004,131.869995,126.613281,5393600
2020-06-10,132.149994,132.229996,129.800003,129.869995,124.693008,4734800
2020-06-11,126.029999,126.099998,117.839996,118.010002,113.305786,11763600
2020-06-12,121.250000,123.120003,119.279999,121.910004,117.050316,6220300
2020-06-15,119.190002,122.370003,118.290001,121.650002,116.800674,5149100
2020-06-16,125.000000,127.500000,123.160004,125.150002,120.161156,5606700
2020-06-17,125.830002,126.250000,123.400002,124.150002,119.201027,3156800
2020-06-18,123.000000,124.400002,122.330002,124.160004,119.210625,2865400
2020-06-19,126.169998,126.820000,122.250000,122.470001,117.587990,8099000
2020-06-22,122.120003,122.500000,120.529999,121.070000,116.243805,4773500
2020-06-23,122.010002,122.900002,119.230003,119.410004,114.649979,6632600
2020-06-24,118.320000,118.320000,115.879997,116.419998,111.779160,6751000
2020-06-25,116.760002,119.209999,116.099998,119.029999,114.285118,6130600
2020-06-26,118.260002,118.989998,116.260002,117.190002,112.518471,10750100
2020-06-29,117.980003,119.779999,117.370003,119.750000,114.976418,4159500
2020-06-30,119.190002,121.199997,119.000000,120.769997,115.955757,3919500
2020-07-01,120.269997,121.230003,118.370003,118.540001,113.814651,4655800
2020-07-02,119.690002,121.419998,119.260002,119.699997,114.928406,3747000
2020-07-06,121.250000,121.849998,119.459999,120.190002,115.398880,4045400
2020-07-07,119.000000,119.510002,117.330002,117.580002,112.892921,4278100
2020-07-08,118.059998,118.639999,116.480003,117.709999,113.017738,5192800
2020-07-09,118.000000,118.000000,115.199997,115.709999,111.097466,4763000
2020-07-10,115.500000,118.570000,115.290001,118.349998,113.632233,4285700
2020-07-13,119.779999,120.989998,118.660004,119.199997,114.448334,4650700
2020-07-14,118.620003,120.889999,117.919998,120.599998,115.792534,4534400
2020-07-15,122.400002,123.959999,122.150002,123.000000,118.096863,4473400
2020-07-16,122.680000,124.480003,122.160004,124.010002,119.066605,4330900
2020-07-17,124.389999,125.629997,123.199997,125.110001,120.122757,3984600
2020-07-20,126.070000,127.070000,125.139999,126.370003,121.332535,9927700
2020-07-21,131.160004,132.169998,125.800003,126.059998,121.034882,15364900
2020-07-22,125.900002,129.470001,125.800003,128.669998,123.540840,8195400
2020-07-23,129.100006,129.369995,127.150002,127.330002,122.254257,4220100
2020-07-24,126.480003,127.650002,125.500000,125.790001,120.775642,3531100
2020-07-27,124.860001,126.320000,124.709999,126.209999,121.178902,3733400
2020-07-28,125.820000,126.339996,124.150002,124.470001,119.508270,4178200
2020-07-29,124.559998,125.989998,124.070000,125.320000,120.324379,2832800
2020-07-30,123.709999,123.900002,121.639999,122.900002,118.000854,3988100
2020-07-31,122.709999,122.989998,121.089996,122.940002,118.039261,5277700
2020-08-03,123.500000,124.410004,122.150002,124.309998,119.354645,3526100
2020-08-04,123.820000,125.860001,123.820000,125.839996,120.823654,3466100
2020-08-05,126.730003,126.750000,124.610001,125.449997,120.449196,3675400
2020-08-06,125.000000,126.260002,125.000000,126.120003,121.092491,3417100
2020-08-07,123.500000,125.070000,123.209999,124.959999,121.549660,3651000
2020-08-10,125.419998,127.239998,125.180000,127.110001,123.640984,3968300
2020-08-11,128.759995,130.470001,126.610001,126.750000,123.290817,5001200
2020-08-12,127.610001,127.790001,125.879997,126.699997,123.242172,3530200
2020-08-13,125.959999,126.389999,124.769997,125.029999,121.617752,3171300
2020-08-14,124.199997,125.559998,123.910004,125.269997,121.851204,2963400
2020-08-17,125.250000,125.589996,124.410004,124.440002,121.043854,3360100
2020-08-18,125.000000,125.500000,124.239998,124.919998,121.510757,2882400
2020-08-19,124.830002,125.500000,123.500000,123.839996,120.460236,3743900
2020-08-20,123.199997,124.040001,122.809998,123.150002,119.789063,2561200
2020-08-21,123.010002,123.480003,122.309998,123.160004,119.798790,3385100
2020-08-24,123.790001,126.059998,123.360001,125.680000,122.250015,4070800
2020-08-25,126.000000,126.820000,124.489998,124.639999,121.238403,2977700
2020-08-26,124.949997,125.120003,123.949997,124.169998,120.781219,3388300
2020-08-27,124.599998,125.099998,123.980003,124.650002,121.248131,3422700
2020-08-28,124.959999,125.300003,124.220001,125.070000,121.656662,3099600
2020-08-31,125.250000,125.250000,123.029999,123.309998,119.944695,4827900
2020-09-01,122.849998,123.949997,122.150002,123.400002,120.032242,3155300
2020-09-02,123.720001,128.699997,123.580002,128.179993,124.681786,6592400
2020-09-03,128.190002,129.949997,123.650002,124.449997,121.053581,5716800
2020-09-04,124.349998,125.349998,121.239998,122.300003,118.962265,6018200
2020-09-08,122.160004,122.870003,120.709999,121.209999,117.902008,5210300
2020-09-09,122.129997,123.699997,121.290001,122.260002,118.923355,3770700
2020-09-10,122.529999,123.580002,120.239998,120.559998,117.269745,3978400
2020-09-11,121.389999,122.699997,120.730003,121.459999,118.145180,3548100
2020-09-14,122.360001,123.379997,121.760002,122.089996,118.757988,3641500
2020-09-15,122.820000,123.400002,122.239998,122.440002,119.098442,2915200
2020-09-16,122.709999,125.820000,122.709999,124.220001,120.829865,3788400
2020-09-17,122.620003,125.550003,121.970001,124.919998,121.510757,3171300
2020-09-18,124.260002,124.919998,122.650002,122.760002,119.409714,5391600
2020-09-21,120.480003,120.699997,118.580002,120.250000,116.968208,5311400
2020-09-22,120.330002,121.449997,119.529999,120.510002,117.221115,2957800
2020-09-23,120.800003,121.589996,118.430000,118.830002,115.586960,3939400
2020-09-24,118.099998,119.519997,116.480003,118.089996,114.867157,3546200
2020-09-25,117.599998,119.410004,116.940002,118.949997,115.703690,2953700
2020-09-28,120.570000,122.330002,120.410004,121.730003,118.407814,3509200
2020-09-29,121.410004,122.190002,120.209999,120.940002,117.639381,2106600
2020-09-30,121.379997,122.910004,120.800003,121.669998,118.349457,3261100
2020-10-01,122.360001,123.300003,120.360001,121.089996,117.785286,3211700
2020-10-02,119.040001,121.750000,118.820000,120.570000,117.279480,2925200
2020-10-05,121.839996,122.750000,121.050003,122.010002,118.680176,3050500
2020-10-06,122.580002,124.830002,121.589996,121.970001,118.641266,3872300
2020-10-07,122.669998,124.389999,122.320000,124.070000,120.683960,2815400
2020-10-08,130.860001,135.500000,129.770004,131.490005,127.901451,25288900
2020-10-09,132.000000,132.000000,127.599998,127.790001,124.302429,8353700
2020-10-12,128.070007,128.250000,126.440002,127.209999,123.738258,4635100
2020-10-13,126.570000,127.150002,124.459999,125.099998,121.685844,5406100
2020-10-14,125.129997,126.940002,125.129997,125.940002,122.502922,3730100
2020-10-15,124.080002,125.220001,123.849998,124.889999,121.481575,3385300
2020-10-16,125.169998,126.430000,124.660004,125.930000,122.493195,4710400
2020-10-19,126.800003,127.349998,125.080002,125.519997,122.094376,7478700
2020-10-20,119.800003,120.150002,116.839996,117.370003,114.166809,21501100
2020-10-21,116.660004,117.690002,114.790001,115.059998,111.919846,9755300
2020-10-22,115.000000,116.059998,112.980003,115.760002,112.600746,7855800
2020-10-23,116.500000,116.620003,115.529999,116.000000,112.834198,3893400
2020-10-26,114.449997,114.900002,111.839996,112.220001,109.157356,7203400
2020-10-27,112.150002,112.220001,110.029999,110.559998,107.542664,5936100
2020-10-28,108.660004,109.730003,105.919998,106.650002,103.739372,9427300
2020-10-29,107.250000,109.639999,106.550003,108.910004,105.937698,6760200
2020-10-30,107.900002,111.800003,107.750000,111.660004,108.612648,7921500
2020-11-02,112.650002,113.830002,112.250000,112.910004,109.828529,5311500
2020-11-03,114.000000,115.650002,113.629997,114.160004,111.044411,4204300
2020-11-04,112.330002,113.910004,111.160004,111.900002,108.846092,5800100
2020-11-05,113.300003,115.290001,113.010002,114.769997,111.637764,4902200
2020-11-06,115.080002,115.099998,113.389999,114.040001,110.927689,5249200
2020-11-09,117.879997,119.739998,115.269997,115.529999,114.006546,8992200
2020-11-10,116.690002,118.169998,116.250000,117.910004,116.355171,5622800
2020-11-11,118.120003,118.349998,116.220001,117.199997,115.654526,4289600
2020-11-12,115.629997,116.370003,113.480003,114.500000,112.990128,6498200
2020-11-13,115.190002,117.370003,115.010002,116.849998,115.309143,4682600
2020-11-16,118.300003,118.550003,117.120003,118.360001,116.799232,5293400
2020-11-17,117.599998,118.540001,117.070000,117.699997,116.147934,4134500
2020-11-18,117.720001,118.879997,116.750000,116.769997,115.230194,4606800
2020-11-19,116.540001,117.449997,115.889999,117.180000,115.634789,3439600
2020-11-20,117.599998,118.040001,116.690002,116.940002,115.397957,5024300
2020-11-23,117.430000,120.519997,117.269997,120.089996,118.506416,5650400
2020-11-24,120.860001,124.730003,120.809998,124.419998,122.779320,7752500
2020-11-25,122.930000,124.330002,122.110001,124.199997,122.562218,4135900
2020-11-27,124.199997,125.309998,123.910004,124.349998,122.710243,2091200
2020-11-30,124.099998,125.000000,123.089996,123.519997,121.891182,5988000
2020-12-01,123.900002,125.830002,123.080002,123.160004,121.535934,5312100
2020-12-02,122.849998,124.639999,122.410004,124.620003,122.976685,3690700
2020-12-03,124.160004,124.860001,123.290001,123.610001,121.980003,4548200
2020-12-04,123.970001,127.379997,123.639999,127.199997,125.522659,5522800
2020-12-07,126.489998,126.970001,124.570000,124.699997,123.055626,8318500
2020-12-08,125.320000,126.330002,124.639999,125.709999,124.052307,5395000
2020-12-09,125.800003,127.690002,125.699997,126.790001,125.118065,6513500
2020-12-10,126.349998,126.930000,124.940002,124.959999,123.312195,4803200
2020-12-11,124.080002,125.510002,123.610001,124.269997,122.631294,4481400
2020-12-14,125.320000,126.239998,123.470001,123.529999,121.901054,5050000
2020-12-15,124.389999,125.930000,123.440002,125.930000,124.269409,4359600
2020-12-16,125.930000,126.570000,125.290001,125.550003,123.894424,4530100
2020-12-17,126.080002,126.089996,124.910004,125.550003,123.894424,3788000
2020-12-18,125.589996,126.400002,124.970001,125.849998,124.190460,7552800
2020-12-21,123.970001,124.180000,121.720001,123.389999,121.762901,6115700
2020-12-22,123.309998,124.220001,122.410004,123.610001,121.980003,4336100
2020-12-23,123.879997,125.209999,123.739998,123.900002,122.266174,2693900
2020-12-24,125.000000,125.099998,124.209999,124.690002,123.045761,1761100
2020-12-28,125.099998,126.599998,124.459999,124.820000,123.174042,3615200
2020-12-29,125.349998,125.480003,123.239998,123.800003,122.167496,3487000
2020-12-30,123.800003,124.849998,123.629997,124.339996,122.700371,3380300
2020-12-31,124.220001,126.029999,123.989998,125.879997,124.220062,3574400
2021-01-04,125.849998,125.919998,123.040001,123.940002,122.305649,5179200
2021-01-05,125.010002,126.680000,124.610001,126.139999,124.476639,6114600
2021-01-06,126.900002,131.880005,126.720001,129.289993,127.585091,7956700
2021-01-07,130.039993,130.460007,128.259995,128.990005,127.289063,4507400
2021-01-08,128.570007,129.320007,126.980003,128.529999,126.835121,4676200
2021-01-11,127.949997,129.679993,127.660004,128.580002,126.884468,5602500
2021-01-12,129.089996,129.850006,127.940002,129.210007,127.506165,3749200
2021-01-13,129.149994,129.750000,126.459999,126.919998,125.246353,7677700
2021-01-14,128.020004,130.160004,127.550003,128.970001,127.269318,7503200
2021-01-15,128.279999,129.240005,127.669998,128.389999,126.696968,4905500
2021-01-19,129.279999,129.589996,128.089996,129.020004,127.318665,5398000
2021-01-20,129.699997,131.059998,128.559998,130.080002,128.364685,5598700
2021-01-21,130.119995,132.240005,130.050003,131.649994,129.913971,12819200
2021-01-22,120.699997,120.699997,117.360001,118.610001,117.045937,38063500
2021-01-25,118.760002,119.540001,117.449997,118.580002,117.016335,13686400
2021-01-26,119.180000,122.589996,118.419998,122.489998,120.874763,10694700
2021-01-27,122.080002,124.790001,121.620003,122.470001,120.855034,12146500
2021-01-28,122.800003,123.199997,120.070000,120.080002,118.496552,8084100
2021-01-29,120.220001,121.300003,118.900002,119.110001,117.539337,11772300
2021-02-01,119.900002,120.949997,118.730003,120.540001,118.950485,6250500
2021-02-02,119.360001,121.000000,119.279999,119.440002,117.864990,6341900
2021-02-03,119.040001,119.800003,118.120003,119.120003,117.549210,6715400
2021-02-04,119.910004,121.099998,118.870003,121.019997,119.424149,4562100
2021-02-05,121.000000,121.809998,120.519997,121.790001,120.183998,4563600
2021-02-08,122.620003,123.980003,122.400002,123.610001,121.980003,5888000
2021-02-09,121.900002,122.599998,121.050003,122.099998,122.099998,4717000
2021-02-10,123.029999,123.410004,121.209999,122.239998,122.239998,4866800
2021-02-11,122.000000,122.209999,120.629997,120.910004,120.910004,5380600
2021-02-12,121.000000,121.360001,120.089996,120.800003,120.800003,3868900
2021-02-16,120.150002,120.599998,119.360001,120.070000,120.070000,6639800
2021-02-17,119.269997,120.559998,119.019997,119.970001,119.970001,3959100
2021-02-18,120.500000,120.940002,119.699997,120.730003,120.730003,5398100
2021-02-19,120.750000,120.760002,118.379997,118.989998,118.989998,6578700
2021-02-22,118.500000,121.129997,118.440002,120.860001,120.860001,5879200
2021-02-23,120.919998,121.349998,119.800003,120.709999,120.709999,4531300
2021-02-24,120.800003,123.489998,120.519997,123.209999,123.209999,5820000
2021-02-25,123.370003,124.349998,122.339996,122.470001,122.470001,5691800
2021-02-26,122.250000,122.250000,118.879997,118.930000,118.930000,9044900
